"geneid","coef"
"Intercept",59.0894189106352
"TMEM216",-0.761589347739522
"DNAL4",-0.276478488498122
"CCDC121",-0.234416553083364
"TMCO6",-0.125835288495103
"ALOX12-AS1",-1.60555414060542
"FAM228B",-0.992707646493649
"USP10",-0.219361314638762
"CCDC30",-8.83575333623574
"DHRS7B",-0.147595903061793
"PLIN2",0.190411518960588
"SLED1",0.218820112346825
"SH3RF3",-1.76800928723791
"LOC101929140",-3.10384058780881
"CRIPT",-0.398892734033274
"LOC729683",-0.831296020312462
"SLC25A34",-0.659991039109637
"HSDL2",-0.213191087173426
"DUS2",-0.096565541404157
"RFLNB",-0.347569194930266
"HIST1H1D",0.488972524204183
"GOLGA7",-0.148117773499544
"BID",-0.0138251891742366
"ST3GAL6",0.732945954717388
"DICER1-AS1",0.470313384308063
"SNAI3-AS1",-0.604847978608884
"AGPAT1",-0.096332027650032
"AVPI1",0.0663018779340622
"CYP1B1",-0.260124583073984
"PIK3CD-AS1",0.102388492126328
"DDIT4",0.0267072204692985
"ZMAT2",-0.0867803287539003
"GAB1",-1.02793861744637
"PRUNE1",-0.0553440450322656
"NUDT16P1",0.35658750479681
"LOC642852",-1.26936250320846
"CCR7",-0.467655607547266
"CASTOR3",-0.399037497656632
"MSRB2",-0.0440167830444225
"LOC645513",0.260739128301689
"HTATIP2",0.105686915881685
"ZNF443",-0.141530737261003
"ATP6V1D",-0.490628546726934
"FAM43A",-0.280216510188455
"MGST2",0.262964737011263
"ZNF177",-0.937394766786542
"SLC25A20",-1.46490935208852
"CCDC112",-0.472292253719032
"TIRAP",0.0954347400788222
"KCNMB3",0.220324800763041
"CEP63",-0.104728610514357
"MAN1A1",-0.350706161378495
"PIGV",0.391713708725972
"C7orf25",0.652560877616023
"GABARAPL2",-0.00218648570947658
"KCNH3",-0.0743220257576016
"CLMN",0.193670284878213
"CEP19",0.00388034518112911
"NMRK1",-0.257945159990733
"TLR6",0.504132749684427
"ZBTB47",0.470659429261034
"ANTXR2",-0.147466985430608
"PGM1",-0.0340174725029942
"MIR1184-1",-1.16622665979693
"CCL5",0.0971379627907254
"SH3BGRL",-0.341655469651231
"FBXO9",-0.388814125953049
"B3GAT1",1.04980488059471
"RALB",-0.165285280781671
"LINC01126",-0.127990569183856
"CCDC69",-1.39153281188928
"DNASE1L1",0.128382403915412
"SLC1A7",0.439467314260732
"EPX",0.0470839425743177
"HIST2H2AC",0.0402676476061388
"KRR1",0.0857562743937724
"LPP-AS2",-0.737312299637157
"HIST3H2BB",0.563728605211507
"PIK3C3",0.626611609385973
"COL4A3BP",0.00780391478090218
"JUND",0.741542859161685
"SLC9A1",-0.911199052902224
"CYP1B1-AS1",-0.354834926482576
"SNAP29",0.149673126866761
"TMEM144",-0.389518131710577
"AREG",0.0864961046645424
"FUZ",-0.162979946352777
"F8",1.07982657428289
"PPP1R32",-1.42736635339005
"KIAA1614",1.44815209733166
"COL9A3",-0.197844908447966
"FBXW4P1",0.184405915858544
"TMEM115",0.50181351604908
"PPM1D",0.215848118424302
"SLC35E3",0.609224350341101
"ISL2",-0.26521151054218
"RSPH10B",-1.60079002489151
"PRKCB",0.0365075541473235
"CLRN1-AS1",-0.640377147325452
"KIR3DL2",-0.700862972094784
"PER1",0.261892975157882
"F8A1",-0.581515691238212
"PARP4",0.295797754346585
"PAX8",-4.08556130446727
"GLRX",0.438629116799551
"HYAL2",0.93438081982277
"SUPT20H",0.505553376734553
"TMEM260",0.0385509807985076
"FKBP9P1",1.00128443908462
"C1RL-AS1",0.132625238396932
"HIST1H2AE",0.477930665493053
"TPSAB1",0.084850163513486
"VAMP1",-0.242965936391934
"APOC3",0.157033251429102
"PTGDS",0.422792395369047
"GALNT2",0.455323228442555
"TMEM43",0.37704990015412
"PGAM2",-0.818225554858569
"EFNA4",0.450514641815395
"SOWAHD",0.291417922137182
"TAPT1-AS1",1.85160010527507
"FRG1BP",-1.48929945236058
"SIAE",1.02928239374333
"GTF2IRD2B",1.43524743409508
"ITPRIPL2",0.842436032257385
"SGMS2",0.205482061085954
"TRIM27",0.382723878440015
"LINC00654",0.441259492031451
"SLC35A1",0.731847821780282
"TCFL5",0.296813872633378
"TRMO",0.810814906428289
"PFKFB4",0.0944000042542126
"PDE5A",1.53047479477207
"MIA2",0.597293597768762
"MYCL",0.0445962179895096
"STMP1",-1.51071904275786
"CLK4",0.216247397584371
"SEC22B",-0.0462158562054173
"TPSB2",0.155922087089916
"LOC100507373",-0.62874946282503
"ICA1",-3.22821952809573
"RAD51-AS1",-0.199246457128883
"CACNA1E",-0.370384876281763
"ZNF282",0.021799215996929
"C6orf163",2.47474696621656
"CORO6",-1.08978434996188
"GUK1",-0.0631378039373402
"EPB41L4B",-1.86326284676862
"PAX8-AS1",-0.640390526870747
"KIF19",3.40998316383206
"VPS26B",-0.378187702909146
"KLF14",-0.0784616330404433
"FAM120B",0.0288411774865846
"APC",0.366850899345958
"ALX3",2.60017563960646
"MYL12A",0.116965589128555
"BCDIN3D-AS1",0.11416623703509
"SSH1",0.0405908110764299
"ARHGAP15",-1.06089902765262
"NUTM2A",0.236237293279995
"GLIS2",0.235782385806372
"NSUN3",0.0479121391201212
"THOC5",0.41403286166191
"SDHAF3",-0.338833763393218
"KLHL22",-0.645286744142252
"ATL3",0.386389371230051
"ASB16",1.48738497114255
"C17orf97",-1.0938914495916
"FAM110B",-0.348216609726361
"SH2D1B",-0.455490839413078
"MYH7B",-7.66740508985697
"ELOVL1",0.355320956123699
"TOR1B",-0.66857681484294
"CACFD1",0.992144436661524
"OTUD7A",-6.34120839329308
"SNX16",1.76806687717879
"PITPNM3",-2.3919548641597
"C15orf62",-0.239575458211414
"ADAM17",0.343082673977935
"SIK1B",0.331991685787284
"LOC200772",0.295460087564847
"MBP",0.239400615335972
"NRN1",-0.139649153547077
"ZNF69",-1.37540410331827
"RBM48",0.428772370988282
"LRRC57",0.0711696627894448
"NBR2",0.675714839029749
"CDKN1C",0.900712720711006
"FPGT-TNNI3K",0.893208083918948
"DNAJC25-GNG10",-0.0758962148756857
"ROM1",0.204365438292546
"DUSP18",0.095046167652335
"SLC36A1",-0.120758000872139
"SPTLC2",0.0615351221595419
"NSUN5",0.0892615948533029
"TP53I3",0.287434531386479
"C1QTNF6",0.882040897383826
"COL7A1",0.666765916029279
"ARHGAP8",4.14189233445236
"BCLAF3",0.612249799566003
"CSF2RB",-0.238468820259161
"GNG10",-0.0672732140986432
"SLC38A5",1.1716803885037
"ATXN3",0.86046189594403
"HSPA5",0.268699816632603
"MAGI3",0.352756901450672
"TAF7",0.814968577142746
"LINC00671",-0.0839306935373328
"CTSK",-0.220163879054855
"FASLG",-0.462334334067779
"ZNF14",0.346617899849891
"USP3",0.350064037547115
"FUCA1",-0.611423720163755
"FLNA",0.0335516342417465
"TLNRD1",0.135685441579194
"WASH5P",-0.747549646993809
"F2R",0.726121621603075
"MIR503HG",-2.43325473725352
"ALCAM",-0.405877887513481
"SPTLC1",0.172883070320973
"CYB5D1",0.130371854682594
"TRDMT1",0.90022011512833
"CCZ1B",0.0165358543437787
"PGM5",-0.237316954574074
"ALOX15P1",-4.3512489926265
"CYB561A3",-0.216384194073694
"DHFR2",0.710853045421783
"DLGAP1-AS1",-0.466763213301919
"COPS3",-0.56796114253389
"LOC105373805",0.104231908437202
"EIF4EBP3",-0.025546539398765
"CALCRL",-1.84789502732396
"ATP6V1C1",0.831173196192549
"SLC15A2",1.158919043092
"PEX5",-0.354227416089299
"PGLS",0.429379856362035
"NHLRC4",-0.885189790030676
"BRD8",0.0345112259434694
"PLCH2",0.52881629196726
"ZNF155",1.17703781370175
"LOC101928063",1.28400939774087
"CBX1",-0.0439806792104384
"PPP1R15A",-0.581105011849177
"ZCCHC14",-2.9037177420165
"LOC100129697",0.137433479854807
"TMEM50B",1.58445895109808
"CYTIP",0.669431387214101
"CTSE",0.78612665750728
"USP8",0.0333538971965291
"LEF1-AS1",-5.15983657462011
"PTRH2",0.0259056412911607
"TTC16",0.503514343065553
"IL6ST",0.62518600967117
"LOC101927151",0.773564788074476
"ZBTB45",0.75211652681421
"CHTOP",0.118833395032536
"EMBP1",-1.39256398844082
"TMEM154",-0.454255130961643
"PRKAG2-AS1",0.143843684252207
"KREMEN1",-0.285181488059955
"CPAMD8",-2.27573049163037
"TFEB",0.303365827462497
"HSPA1B",-0.286727538273748
"NRADDP",0.022604953914436
"ABAT",0.673745400393201
"ZNF442",-5.45522254715381
"GPR132",0.339508496229609
"MAP6D1",0.010296423401605
"RNF19B",-0.446061207653234
"NDRG3",-1.82796177093611
"HFE",0.986880195645951
"GLB1",0.487906291522144
"MIR1184-2",0.531524906698212
"C9orf64",0.117195094168514
"CSK",0.407367147576787
"MGST1",0.369861871673821
"AIF1",-0.552642346514862
"HYAL1",1.24055453634511
"GGNBP2",0.531045164633039
"CARD14",-1.00563695480302
"CTNNBIP1",0.406234564340432
"ANKS1A",0.358749476407475
"TMLHE-AS1",1.84745425259295
"ZNF587B",0.227532690786826
"CKLF",-0.22206204620619
"DRAXIN",2.58058868124537
"DEGS1",0.204986721478379
"TST",0.404183062335653
"ZSCAN18",-0.73121777218003
