"geneid","coef"
"Intercept",31.1929498268717
"ACSS2",0.778224954322048
"ADIPOR2",3.3907688152817
"ANXA3",1.32353715780716
"APOD",1.57450568861492
"B2M",7.10640762840354
"C1QB",1.99084338684129
"C1QC",1.59070708112145
"C3",2.16905217458212
"CA4",-7.41601063393935
"CLIC4",-6.33588229332495
"CLU",-0.409521977099861
"COL4A5",2.74226149263404
"CX3CL1",0.964928064144482
"DERL1",0.89640157335483
"DIABLO",-3.45998595738548
"FABP3",-0.502865496372532
"FCGR2B",-12.009530680718
"GHITM",-0.053315625628624
"HBA1",0.455180084969366
"HCST",0.873844764270534
"HIST1H1C",-1.37410308116749
"LITAF",-2.85583720702249
"LYZ",-1.66358286933702
"MT1F",0.052853175764066
"NDRG1",0.548655705829792
"PSMD11",-4.08845621354256
"RNF213",-2.50816232908544
"S100A6",0.292248908177264
"TFRC",0.395538066418305
"TMED10",1.71109786957585
"TXNIP",0.416171545606487
"VAT1",-0.433685090222647
