"geneid","coef"
"Intercept",59.2096901905909
"GHR",0.0746105760245121
"GHRH",2.47621486819624
"SHC1",0.230194223813365
"POU1F1",0.00571611155772921
"PROP1",0.124820662130045
"TP53",-0.0198814133868525
"TERC",0.392080586985555
"TERT",4.81563220323807
"ATM",0.068894430494391
"PLAU",0.000334460487304982
"ERCC2",-0.205947322613675
"ERCC8",-0.193942336043079
"WRN",0.851647468115991
"LMNA",0.0440391775420176
"IGF1R",0.0657894065647102
"TXN",-0.366138766586647
"KL",-1.00873423542028
"E2F1",0.266227428232096
"PTPN11",0.235047741322369
"NFKB2",-8.34591419129613e-05
"STAT5B",0.096865551193981
"STAT3",-0.0718953177954753
"STAT5A",0.834629908789822
"NRG1",0.481220628644806
"HDAC3",-0.186895319894884
"GH1",-0.0343609098008019
"IL7R",-0.453231273747143
"IGF1",-0.0589548613178814
"IGF2",0.0266284079905969
"INS",0.204797041644072
"NGF",-0.0356793711005471
"IRS1",-0.263285695482763
"PTPN1",0.0138454082101201
"IRS2",-0.110766641190482
"AKT1",-0.12694491907535
"PIK3CB",-0.286036907654739
"NGFR",-0.227486688647825
"HRAS",0.823744369814146
"MYC",0.298938800583435
"EGFR",0.130897117289689
"ERBB2",0.0010427206890702
"INSR",0.102610842236722
"NCOR1",0.0989289241927447
"NBN",0.536595025847552
"JUND",0.233833822421638
"IL2",1.50776826173594
"PDGFB",-0.088390325224297
"EGF",1.27806011993052
"IL2RG",-0.543865822455953
"FOS",-0.0229322204675659
"PDGFRB",-0.220459864781389
"EPOR",0.110419094636171
"SST",-0.0283411807566279
"PRKCD",0.455528222217521
"PPARA",-0.183320349172007
"RET",-0.0395266745241842
"PLCG2",-0.141263963358409
"PEX5",0.457857925788332
"TCF3",-0.0957543270702926
"PARP1",-0.174901660237954
"BRCA1",0.765731233922927
"PIN1",-0.235216886127671
"PTEN",-0.35765453858966
"CREBBP",-0.361854617593207
"HIF1A",0.017913825211231
"UBB",0.371568549872335
"RPA1",-0.469016532652748
"BLM",0.308838833731113
"BCL2",-0.285013061048127
"S100B",0.0882219285507374
"VCP",0.124793864358502
"POLG",-0.869641988731982
"IGFBP3",0.294541445842608
"HSP90AA1",0.0355256949463035
"NR3C1",-0.847879876202889
"EGR1",-0.0789369427875583
"VEGFA",-0.0734049709082192
"ABL1",0.259401751301823
"BRCA2",5.71988730174482
"TOP2A",-0.557072129189682
"TOP2B",-0.391178132018622
"NFKB1",-0.0667322526528021
"TOP1",0.0405769865392769
"RAD51",-1.18758769928245
"UBE2I",-0.0654997076636047
"TNF",-0.445925128871804
"PDPK1",-0.403315873544185
"CEBPA",-0.0432211911336233
"CEBPB",0.0290987250729224
"MXI1",0.275468984713338
"TGFB1",-0.252231886101669
"STK11",0.0689291898265742
"EP300",-0.182729443265428
"APTX",0.614256571406186
"PML",0.132343434344116
"GSK3B",-0.736378656827507
"HTT",0.186063835257263
"PRKCA",-0.279414626210895
"SSTR3",-0.176634077360964
"HELLS",0.645065814154292
"APOC3",0.0523926120142628
"EEF2",-0.421497774260509
"ERCC3",-0.330718233220551
"TERF1",-0.439887171636788
"PRKDC",-0.564505223347975
"CAT",0.145155910065201
"AR",-0.161083970552894
"XRCC5",-0.542270398596845
"PCNA",0.0974159737158725
"FEN1",0.224664838828846
"FAS",0.49927006547341
"TERF2",-0.684037632101444
"XRCC6",-0.579306597106475
"POLD1",0.364583580290903
"BAX",0.749802756567398
"RB1",-0.0271864262608727
"EMD",0.0302230513544081
"GRB2",-1.32395964132024
"FOXO3",0.168243596867137
"FOXO1",-0.212564054399323
"HSF1",-0.0624443448602747
"XPA",0.295354049535825
"MSRA",0.497230287673341
"RECQL4",0.0478479811540371
"SOD2",-0.0343662358608444
"SOD1",0.557465598077462
"FOXM1",-0.553070228612678
"COQ7",0.300934597866211
"CACNA1A",-0.485490666147559
"LRP2",-0.755212130228267
"AIFM1",0.532208711711602
"UCHL1",0.521405731451356
"APP",-0.140280770202592
"APOE",-0.110853247879508
"A2M",0.094437182717822
"SNCG",0.261747288648258
"PRDX1",0.220885511668702
"PON1",0.0400983702256072
"RELA",0.173056835798255
"IL6",0.0413493445876481
"RGN",-0.0272244600602318
"RAD52",-0.113822840667191
"TOP3B",-0.0890449767658369
"ERCC1",0.207984029585691
"SIRT1",-0.314962900963194
"HDAC1",-0.289808484337551
"HSPA9",0.17649164618879
"GPX1",0.639368843540608
"GSR",0.516952681148587
"GSS",0.364574860262545
"GSTA4",0.0620336277616516
"GSTP1",0.410473436481512
"HSPD1",0.0440889682725351
"HSPA1A",-0.0334178009441927
"HSPA1B",-0.0263246339686484
"PCMT1",-0.395981899594957
"MAPK8",-0.358297161667526
"YWHAZ",0.324593544193737
"PTK2B",0.452598004807767
"PTK2",-0.0119494037003147
"IL7",0.0840560795267196
"MAPK14",-0.294801834689701
"FGFR1",-0.0508543258799552
"SP1",-0.086682669118241
"FLT1",-0.133341143217739
"JUN",-0.0554604417638003
"MED1",-0.469265961814113
"MAPK9",0.145101933806734
"MAPK3",-0.483524972171425
"HMGB1",0.211199448440457
"CCNA2",-0.145606718823731
"HMGB2",-0.145644130279046
"MAP3K5",0.0869029767584556
"TAF1",-0.0953240493349191
"LMNB1",0.0333548981992666
"SDHC",0.568470729526357
"FOXO4",-0.0876957024562463
"HESX1",1.2079311670009
"PIK3R1",-0.0297091403557178
"BSCL2",0.18502862678088
"AGPAT2",0.0439045750165293
"BMI1",-0.430669501806595
"EEF1A1",-0.438590997287261
"TFAP2A",0.171740053754899
"BDNF",-0.0192808384907298
"CREB1",-0.454682761901854
"ATF2",-0.141050713923036
"TBP",-0.578978525823875
"APEX1",-0.462506854947199
"HBP1",-0.189934971940298
"BUB1B",-2.91532352204985
"PTGS2",-0.0221417004328964
"HSPA8",-0.0818158326686904
"SIN3A",0.0670360998704018
"CDK1",0.323102344777849
"TFDP1",-0.899819423698602
"DDIT3",0.184410939699194
"POLA1",0.159909883245752
"MAPT",-0.0749431893378618
"CTGF",0.117402241948109
"HDAC2",-0.58179283319954
"MAX",-0.0138141805529363
"MXD1",0.0820396408546555
"MDM2",0.505406640302144
"SUMO1",-0.262854108944945
"H2AFX",-0.114475330239704
"HOXB7",-2.36920430420258
"HOXC4",0.523809169736339
"JAK2",0.294820728977896
"ESR1",0.110514411682586
"LEP",-3.51106639345486
"LEPR",0.188242675856437
"NFKBIA",0.223811695820876
"CLU",0.0460587893779222
"MTOR",0.268056798911586
"GHRHR",-0.0450055153419429
"CTNNB1",0.0261051211224833
"PSEN1",-0.418618978067989
"DLL3",-0.236367858152261
"CDKN2A",0.271351855676843
"PPP1CA",-0.0658849621537008
"DBN1",0.0420615553447306
"NOG",-0.157751844045715
"ELN",0.231574755047375
"ATR",0.706101792161718
"UCP3",0.0905131145826995
"ZMPSTE24",-0.082859195780626
"TP63",0.306321005447974
