"geneid","coef"
"Intercept",113.799452686438
"ADIPOR2",1.10049112850089
"APOD",2.24016095407004
"C1QA",-0.459807921618665
"C1QC",-0.0829434343188262
"C4A",-0.253019971514754
"CALB1",-16.8718179904196
"CLU",-0.562451632375916
"COL4A5",-1.28658262442821
"DIABLO",-5.92798322972968
"GFAP",1.76111862435257
"GSTA1",-0.163844164283798
"HBA1",0.507398761985829
"HCST",-0.333155169500656
"HIST1H1C",0.0679731614710885
"HLA-G",-1.97409157622468
"LITAF",0.791680151151154
"LYZ",-0.837999418272414
"MT1F",-0.376828813836292
"NDUFB11",-4.55575063183415
"PTGES3",-0.53759669855002
"RASA3",0.378022822017147
"S100A4",0.119464618014515
"S100A6",-1.33893068951837
"TFRC",0.0608443168923036
"UQCRFS1",-1.43002539994845
"VWF",-1.0543198327854
