"geneid","coef"
"Intercept",63.4512281346109
"GHR",0.673323035228689
"GHRH",-3.03214936669773
"SHC1",0.316504659092794
"POU1F1",-2.01649894404436
"PROP1",5.92558499896075
"TP53",0.0163510552260135
"TERC",0.00963288560701674
"TERT",-2.33664900249242
"ATM",-0.0914773389061296
"PLAU",0.0300965596652333
"ERCC2",0.0927522719573906
"ERCC8",0.0379942238389755
"WRN",-0.00179583100279996
"LMNA",0.0437062934066838
"IGF1R",-0.00920563748454929
"TXN",-0.085668457734778
"KL",0.185983254527648
"E2F1",0.084034995374785
"PTPN11",-0.0299454949367152
"NFKB2",0.00880656069444716
"STAT5B",-0.0243489622973041
"STAT3",0.0377810715728518
"STAT5A",-0.0486644094698688
"NRG1",-0.121919058878777
"HDAC3",-0.0441127832627418
"GH1",0.0852089582127857
"IL7R",-0.0687742395475739
"IGF1",-0.0179631938729209
"IGF2",-0.0936126126553943
"INS",0.51435460374583
"NGF",0.970850362016434
"IRS1",-1.12386742922698
"PTPN1",0.0531715457658822
"IRS2",0.00788278756196466
"AKT1",0.018638276569008
"PIK3CB",-0.17553148319925
"NGFR",0.458972869613586
"HRAS",0.096366338669995
"MYC",-0.127884833517275
"EGFR",0.0607984779352127
"ERBB2",-0.0338734130549248
"INSR",0.029638345179658
"NCOR1",-0.0305188009159478
"NBN",-0.0202563237231394
"JUND",0.184096888804646
"IL2",1.19854128441539
"PDGFB",0.18435671186298
"EGF",1.50725319621519
"IL2RG",0.0484341025547255
"FOS",0.0459551898788353
"PDGFRB",0.334452447460195
"EPOR",-0.651253548557044
"SST",0.0833610883555403
"PRKCD",-0.100554591564397
"PPARA",-0.073054026248466
"RET",3.86687694496346
"PLCG2",-0.0311424629241209
"PEX5",-0.26580306376712
"TCF3",-0.0884962372161639
"PARP1",0.00950992115771026
"BRCA1",-0.0658689649313884
"PIN1",0.00757922763669354
"PTEN",-0.0524995009585358
"CREBBP",0.0953878925382098
"HIF1A",0.0353121235094912
"UBB",-0.383085313678164
"RPA1",-0.00478771958386082
"BLM",-0.0649913792102353
"BCL2",0.00795189315601603
"S100B",0.186488857576482
"VCP",0.160978051981103
"POLG",0.171846362714725
"IGFBP3",0.434842019058154
"HSP90AA1",0.0877859813133087
"NR3C1",-0.0742773514930303
"EGR1",-0.101926288635079
"VEGFA",0.00907635433522356
"ABL1",0.0125204258123631
"BRCA2",0.0604871624411289
"TOP2A",-0.00497042088171323
"TOP2B",-0.0676493020048622
"NFKB1",-0.0453784313880717
"TOP1",0.103523108424206
"RAD51",-0.0043753958791063
"UBE2I",-0.114469142183088
"TNF",0.0493554788184827
"PDPK1",0.0268552168918178
"CEBPA",-0.060526203327105
"CEBPB",0.0316080718151798
"MXI1",-0.0532746245010958
"TGFB1",0.0223397174079613
"STK11",-0.595234266109625
"EP300",-0.0335929911913687
"APTX",0.0616423656556926
"PML",0.23337199385103
"GSK3B",-0.118601612647165
"HTT",0.0433968696597736
"PRKCA",0.146493440529521
"SSTR3",-0.160441414743815
"HELLS",0.0628956392826392
"APOC3",0.1177964253338
"EEF2",-0.103845813085953
"ERCC3",-0.0184357230141394
"TERF1",0.219534007222382
"PRKDC",0.143957647254648
"CAT",0.0738089157007143
"AR",-0.508265725751423
"XRCC5",-0.0734614577638691
"PCNA",-0.00110900085677555
"FEN1",0.0255708818622247
"FAS",0.0919057308089573
"TERF2",-0.0232522088453827
"XRCC6",0.0606796989066953
"POLD1",0.0331080821731832
"BAX",0.142009839412308
"RB1",0.12522393532119
"EMD",0.105419162295944
"GRB2",-0.211181872910727
"FOXO3",0.0899001228164575
"FOXO1",-0.0331315701998168
"HSF1",0.0737990351578349
"XPA",0.0206959173216208
"MSRA",-0.0683873709959168
"RECQL4",0.032682482349058
"SOD2",-0.10196626996733
"SOD1",-0.0390906872733652
"FOXM1",0.0205858728489479
"COQ7",-0.167812834239687
"CACNA1A",-1.65273352302543
"LRP2",-0.869164774119741
"AIFM1",0.082363062766686
"UCHL1",0.0723876077990358
"APP",-0.171532243349931
"APOE",0.0992815885323827
"A2M",-0.460611665130123
"SNCG",-0.262642040620102
"PRDX1",0.0034918749232671
"PON1",0.887528263235478
"RELA",0.169002726311713
"IL6",0.051433489216188
"RGN",0.279638138347656
"RAD52",-0.359863172249949
"TOP3B",-0.0418604310113378
"ERCC1",-0.00828405812196573
"SIRT1",0.0581306740773613
"HDAC1",-0.0682268497352093
"HSPA9",0.0413108150699391
"GPX1",0.296133178186236
"GSR",-0.232061856138927
"GSS",0.0945909764407503
"GSTA4",-0.678332427294012
"GSTP1",0.100134952943241
"HSPD1",0.0317571767544908
"HSPA1A",-0.00105539502550104
"HSPA1B",0.016040267740093
"PCMT1",-0.228559641555481
"MAPK8",-0.10063814364305
"YWHAZ",-0.197468717475625
"PTK2B",0.125796676541313
"PTK2",-0.640130797708582
"IL7",0.00529271830515804
"MAPK14",-0.0659233506811329
"FGFR1",-0.0241521705686587
"SP1",-0.100940101762459
"FLT1",-0.351455602998898
"JUN",0.0685996296284065
"MED1",-0.0598987002687128
"MAPK9",-0.0124135788218216
"MAPK3",-0.214027439960943
"HMGB1",-0.0713973384657892
"CCNA2",-0.0197626201371736
"HMGB2",-0.0946008943379285
"MAP3K5",0.00988359480130633
"TAF1",0.0164425756783575
"LMNB1",-0.0424450897260444
"SDHC",-0.23951069894038
"FOXO4",-0.212831992282186
"HESX1",0.00778381670740969
"PIK3R1",0.192594486055825
"BSCL2",-0.478634405839271
"AGPAT2",-0.0424629517854833
"BMI1",0.0958344034412121
"EEF1A1",-0.108392988097587
"TFAP2A",0.352956046947972
"BDNF",2.73552979399598
"CREB1",-0.0825503910446396
"ATF2",0.0185570126843578
"TBP",-0.0889914411362918
"APEX1",-0.073745572326174
"HBP1",-0.196741407918548
"BUB1B",-0.00420014796583745
"PTGS2",-0.020043467510423
"HSPA8",0.0482351504333214
"SIN3A",0.121931706085083
"CDK1",-0.0132288682969904
"TFDP1",-0.0432915968829903
"DDIT3",0.0765603621678294
"POLA1",0.0667980439785169
"MAPT",-0.648403922279674
"CTGF",-0.111420751244184
"HDAC2",-0.106454633289139
"MAX",-0.147929173086032
"MXD1",0.00344360027102682
"MDM2",0.109644809855003
"SUMO1",-0.159429927495925
"H2AFX",0.0290885327865505
"HOXB7",0.160951677541822
"HOXC4",0.167180253480043
"JAK2",0.0508056645651362
"ESR1",-0.960990602077213
"LEP",0.33842589546952
"LEPR",-1.40801851509652
"NFKBIA",0.124709996567171
"CLU",0.115838320352759
"MTOR",0.0594267479978052
"GHRHR",0.627785470512727
"CTNNB1",-0.00534202769194246
"PSEN1",-0.148685855068276
