"geneid","coef"
"Intercept",41.5937788538508
"ADIPOR2",-2.73719810978612
"ANXA3",0.129843918672844
"ANXA5",2.92644678089639
"B2M",6.56559023202016
"C1QC",2.12973853107202
"C3",-1.24068097920133
"C4A",1.12408796509991
"CA4",-1.30079318100461
"CALB1",10.9624552208074
"CLIC4",-5.43371390453918
"CLU",1.31719974256868
"COL1A1",1.00771394993825
"COL3A1",-1.67516808404748
"COL4A5",4.930762909274
"CX3CL1",-1.01780832990188
"DERL1",-4.69267413871839
"DIABLO",-3.16804433339141
"EFEMP1",1.04404465793471
"FABP3",-1.02650847634491
"FCGR2B",-3.90918056325727
"GBP2",-2.08527262194997
"GFAP",0.144886933623449
"GNS",-5.32064265828756
"HBA1",0.41104556701864
"HCST",2.31999430755217
"HIST1H1C",-0.116757179952008
"IL33",-3.01137790373631
"LITAF",-2.1274100836139
"LYZ",-1.00762050015303
"MGST1",1.12584224985463
"MT1F",-1.11927670195303
"NDRG1",2.23168986150245
"NDUFB11",-2.83841332723057
"NPC2",1.0473948479192
"PSMD11",-0.597494215088112
"RASA3",1.71146608308091
"S100A6",-1.16721991295334
"SERPING1",-4.03249257112707
"SPP1",0.231630070954847
"TFRC",-1.00958137588279
"TMED10",12.2398380917911
"TXNIP",1.81440786940884
"UQCRQ",-0.3453974229275
