"geneid","coef"
"Intercept",26.1089077440428
"ACSS2",0.143344175019686
"ADIPOR2",2.24663482731376
"ANXA3",1.44478655464552
"APOD",1.42768184978609
"B2M",5.51616234435728
"C1QC",3.01178594838285
"C3",2.00321519509259
"CA4",-6.17773832620543
"CALB1",0.812000654094034
"CLIC4",-7.09245982478006
"CLU",-1.36493778209951
"COL3A1",0.0249550071424608
"COL4A5",2.56304342184131
"CX3CL1",1.3939925617078
"DERL1",2.45203675438397
"DIABLO",-5.17844559641163
"FABP3",-0.348461212855226
"FCGR2B",-12.4352214635581
"GPNMB",1.06372160995939
"HBA1",0.358459310100398
"HCST",1.21189171821151
"HIST1H1C",-1.57842168012126
"IL33",0.770357629500663
"LITAF",-2.26419249614312
"LYZ",-2.05293392115453
"MPEG1",0.627048406124121
"MSN",-0.131658099776581
"NDRG1",1.58583142033527
"PSMD11",-4.91999972690979
"RASA3",0.540198552237204
"RNF213",-3.05113371271718
"S100A6",0.627588631452696
"TFRC",0.43080183178109
"TMED10",4.46833954384005
"TXNIP",1.20158327741529
"UQCRFS1",0.0482407104364854
"VAT1",-0.404127922336123
