"geneid","coef"
"Intercept",158.451615026571
"GHR",0.112093634236341
"GHRH",-7.73542235063425
"SHC1",0.400407342076184
"POU1F1",-2.17540588903884
"PROP1",4.09982051833601
"TP53",-0.344983452911264
"TERC",-3.98821828803845
"TERT",-40.8461796300093
"ATM",0.297084166351544
"PLAU",-0.15925505407285
"ERCC2",-0.815200406573971
"ERCC8",1.16331866117586
"WRN",-0.0165971450391028
"LMNA",0.000515912154684369
"IGF1R",0.0694842832864382
"TXN",0.378853428960054
"KL",-1.98715827177979
"E2F1",0.17221805874421
"PTPN11",0.0981702640009778
"NFKB2",-0.0609050989355435
"STAT5B",-1.06821677981583
"STAT3",-0.16001557636809
"STAT5A",-0.0421782540127417
"NRG1",0.329738975947374
"HDAC3",-1.35717888321556
"GH1",-0.166751797075284
"IL7R",0.0460802381360656
"IGF1",-0.0816173061367045
"IGF2",0.3142411172024
"INS",-0.197147471731796
"NGF",-0.10492234625264
"IRS1",-0.199588689363736
"PTPN1",-0.446148984114452
"IRS2",0.0190132308616682
"AKT1",-0.361332123362868
"PIK3CB",-0.0957200328277774
"NGFR",-0.116571481755006
"HRAS",-0.252856295592974
"MYC",-0.033636686498543
"EGFR",-0.458667643465525
"ERBB2",1.01908728868461
"INSR",-0.0959645301350694
"NCOR1",0.169475504733964
"NBN",-0.220189364052968
"JUND",0.0632934679444978
"IL2",0.612319006848853
"PDGFB",-0.225307914361405
"EGF",0.308525268214655
"IL2RG",0.216453483155177
"FOS",-0.0105416865042238
"PDGFRB",-0.363395646045451
"EPOR",0.146840907273907
"SST",0.331900015601396
"PRKCD",0.229915358167544
"PPARA",-0.604423530038195
"RET",-1.14935934928617
"PLCG2",-0.568765616490447
"PEX5",-0.416586920169565
"TCF3",-0.702740546694532
"PARP1",-0.0741727489870017
"BRCA1",-2.79228709124154
"PIN1",-0.308004107738585
"PTEN",0.125052084183708
"CREBBP",-0.218968777708944
"HIF1A",-0.219677605131539
"UBB",-0.312207748526924
"RPA1",-0.137231823035253
"BLM",-2.43206377916586
"BCL2",0.186514874519052
"S100B",0.0279611352178893
"VCP",-0.281283067344672
"POLG",-0.659080395248398
"IGFBP3",0.0476645825932984
"HSP90AA1",-0.055505044986219
"NR3C1",-0.294085893755552
"EGR1",0.0360054598379636
"VEGFA",-0.102080664210603
"ABL1",-0.253834709961505
"BRCA2",-3.90338195102696
"TOP2A",-0.803640721637376
"TOP2B",-0.151599429004157
"NFKB1",0.658292396532483
"TOP1",-0.150276809514249
"RAD51",-2.05473362599447
"UBE2I",-0.0270865900989309
"TNF",0.00486940307500552
"PDPK1",-0.703771404375832
"CEBPA",0.180097427028855
"CEBPB",-0.0566073342713585
"MXI1",-0.0662253261161536
"TGFB1",-0.412437461170023
"STK11",-0.350385277582864
"EP300",-0.285396510872297
"APTX",1.13588624633271
"PML",-0.25731155368529
"GSK3B",-0.731695413256336
"HTT",-0.161755083483021
