"geneid","coef"
"Intercept",44.5351294047451
"MYC",0.861433771644178
"SERPINE2",0.772035824029362
"BACH2",1.04975396668605
"SYT11",-2.22938944584806
"PDE9A",-0.232595036620945
"MFGE8",0.0848028047363461
"AGMAT",3.77844434343305
"GRAP",-2.39264031809884
"IL7R",-0.181378430718124
"KLRB1",-2.6721937484038
"OSBPL5",2.69077115356922
"EDAR",42.9013379500965
"COBLL1",1.5371323665378
"TXK",-5.07566260456993
"ATP2B4",-0.738472340643415
"IGFBP3",0.336371671280328
"F5",0.340216440669395
"RRS1",0.288135805872021
"SESN1",0.465199913160856
"ZNHIT6",1.80166996156062
"TRIB2",2.17828049444226
"PDK4",0.0713588545131507
"IGLL1",0.739685894162019
"TSHZ2",-1.37141765587846
"CHMP7",-2.07584080656304
"PDZD4",-1.75532552754908
"OBSCN",3.20278273731333
"TC2N",0.364178455838686
"LPCAT1",-2.84532157752598
"GRPEL2",1.36274912192516
"SH2D1B",5.56516337365947
"TNFRSF17",2.11547063792544
"DBP",0.287983956537808
"PARP3",3.41504154562678
"ASGR2",2.56894480977516
"ANKRD22",1.63086262763355
"NREP",-1.58855694462928
"HLA-DOB",0.616396722692069
"TIGIT",2.51110784964596
"CDKN1C",1.40269903346857
"NUP107",0.319010135810517
"DNASE1L3",-0.747859455824301
"CTSW",-1.75622227226322
"NOA1",-4.36885197875513
"EIF2A",1.27798526618528
"APBA2",0.619267780796633
"RGCC",0.290258608595818
"CMTM8",0.0118900775454129
"CD3D",-1.15933945951753
"ZNF329",-0.621593084906671
"TRMT112",3.43917469611888
"VNN3",11.4199244776651
"TNIP3",15.2179051039845
"SLAMF7",-0.641363434640658
"P2RX5",2.81702274569634
"RASGRP3",0.641474124334332
"ABCB1",1.40602174471137
"CAST",0.469242248730293
"SGPL1",-2.64974951688435
"RAB37",-1.2770897078708
"PADI4",-1.43502792060578
"S1PR5",-4.81612895051298
"LILRA5",-0.242036918430328
"AUTS2",-0.368555406536729
"KLF4",0.148246875179306
"SNRPF",1.19152966380558
"DEFA4",0.604325377887329
"TCL1A",-0.655593815753275
"SOX13",1.92235898418175
"CLEC4E",-2.80711534302515
"BLMH",-2.85730182988835
"SLC22A4",-0.826360984694858
"DYSF",0.510361219937533
"CDC14B",1.79398390732881
"CTSD",1.71782210751568
"MAK16",2.24413933192696
"IL27RA",-5.38378977325945
"NCR1",2.08447593343213
"PIGP",-1.58870144419314
"GPX1",0.361547787301319
"PDZK1IP1",-3.68746911604768
"FAM43A",0.563184314785742
"MBTPS1",-1.59234839168008
"DCAF4",0.516191253232189
"CHORDC1",0.327643287341402
"EBPL",-0.0115324549899077
"SLC20A1",0.0913387212103905
"METAP2",1.6396526563014
"ABHD3",0.369816356031021
"STARD3NL",-0.532426847612396
"KANSL2",1.92049376326244
"ACADM",0.207998749432952
"PGRMC2",-4.81082836111514
"MGAM",-1.3381735552448
"MIR17HG",-11.4492514208069
"ZNF337",-1.69732895641202
