"geneid","coef"
"Intercept",63.8630820762373
"ACSS2",-1.0942673564782
"ADIPOR2",2.68092436756393
"ANXA3",-0.0415594087978522
"ANXA5",0.744326008326046
"APOD",-0.48724657458904
"B2M",-0.255970076900236
"C1QA",0.539561068984674
"C1QB",-0.235746982745037
"C1QC",-0.643378702726896
"C3",0.700028369263706
"C4A",0.743095385457077
"CA4",-1.07163620111947
"CALB1",13.0214876715179
"CLIC4",0.239850400062839
"CLU",-2.36079905120726
"COL1A1",2.93379150838232
"COL3A1",-0.874066479512514
"COL4A5",-0.372766245154794
"CTSS",2.12604644477723
"CX3CL1",1.04763088444762
"DERL1",-0.0798654922893239
"DIABLO",-3.28666186829071
"EFEMP1",0.368280973183427
"FABP3",-0.100315957190687
"FCGR2B",-0.920556081970127
"GBP2",-1.43870942598196
"GFAP",1.99370878975482
"GHITM",1.51302901740268
"GNS",1.60831411197132
"GPNMB",-0.605114237893818
"GSTA1",-0.671451519123528
"HBA1",0.842007860225128
"HCST",3.29273334792967
"HIST1H1C",0.0448216113974325
"HLA-G",-1.37875807294442
"IL33",-1.27048308275782
"LAPTM5",0.909980203320425
"LGALS3",-0.862260197172717
"LITAF",-1.72555935607333
"LYZ",-1.12328877920699
"MGST1",-0.635286233155343
"MPEG1",-0.91665445022615
"MSN",-1.98464421761959
"MT1F",-0.404579335942137
"NDRG1",-1.03097096334626
"NDUFB11",-1.20373040813317
"NPC2",1.47415510230258
"PCSK6",4.547693984062
"PSMD11",-1.09158430917954
"PTGES3",2.43540540202614
"RASA3",-0.216191612186487
"RNF213",-3.47321369679677
"S100A4",0.213840612124232
"S100A6",-1.14834536870391
"SERPING1",2.29904479700786
"SGK1",-0.74552041827784
"SPP1",0.37097912343973
"TFRC",4.08850198092865
"TMED10",-0.785389700609845
"TXNIP",1.73419807488823
"UQCRFS1",-2.71223785058846
"UQCRQ",-2.14577795369711
"VAT1",0.574791235195874
"VWF",-1.86029154382459
