"geneid","coef"
"Intercept",63.1360304435025
"GHR",1.22967247338832
"GHRH",2.23260895589692
"SHC1",0.505561616078591
"POU1F1",-2.59558521936467
"PROP1",10.2377380826106
"TP53",0.0111773879339494
"TERC",-0.0488734711243035
"TERT",-2.3637964328798
"ATM",-0.075526855676701
"PLAU",0.046882337840945
"ERCC2",0.0431411429627628
"ERCC8",-0.0225283939938528
"WRN",0.0122606214312247
"LMNA",0.0185739638584631
"IGF1R",0.0100522945011701
"TXN",-0.0644689994390249
"KL",0.0890008242779424
"E2F1",0.0607079357959614
"PTPN11",-0.0374586851924894
"NFKB2",-0.131343091342295
"STAT5B",-0.0304019948822432
"STAT3",0.0847142507638797
"STAT5A",-0.161359356006998
"NRG1",-0.687220648203318
"HDAC3",-0.0346665017623148
"GH1",0.191903585962658
"IL7R",-0.131798485711591
"IGF1",0.0264444249586279
"IGF2",-0.204968003594203
"INS",0.299484294602922
"NGF",1.31834277481838
"IRS1",-1.45325529837613
"PTPN1",0.105707788070871
"IRS2",0.00793478827110702
"AKT1",-0.117238358727135
"PIK3CB",-0.204580368541297
"NGFR",0.716605101362539
"HRAS",0.0707419090181478
"MYC",-0.162834087555022
"EGFR",0.342291128218913
"ERBB2",0.045126598056974
"INSR",0.0776250066048954
"NCOR1",0.0579207038032756
"NBN",-0.0190137133310919
"JUND",0.310589195866845
"IL2",0.661080778475968
"PDGFB",0.203894388378494
"EGF",2.24905116212556
"IL2RG",0.0979505702015496
"FOS",0.073323400184587
"PDGFRB",0.548860202745786
"EPOR",-0.822582705043588
"SST",0.37592997130508
"PRKCD",-0.114795769309824
"PPARA",-0.113598220413078
"RET",6.28242207943358
"PLCG2",0.00274557479710346
"PEX5",-0.421882909733439
"TCF3",-0.158812327194525
"PARP1",0.0190996572053912
"BRCA1",-0.0862798535679559
"PIN1",-0.0353852827548516
"PTEN",-0.0319826944284028
"CREBBP",0.16712110574798
"HIF1A",-0.0694515684104043
"UBB",-0.546491719149269
"RPA1",0.00725261504597073
"BLM",-0.147445496343463
"BCL2",0.0418539184165214
"S100B",0.141741561895033
"VCP",0.290020458194009
"POLG",0.297542706212958
"IGFBP3",0.511336845379398
"HSP90AA1",0.142263051352065
"NR3C1",-0.0490701867373468
"EGR1",-0.0994998130436516
