"geneid","coef"
"Intercept",33.9315828954185
"GHRH",-8.4017852520727
"POU1F1",-3.93472094028461
"TERC",3.156921958367
"TERT",-0.566895282184177
"WRN",2.19758617761691
"NFKB2",-0.313341739096013
"STAT3",-4.68032446692004
"GH1",0.168225579254797
"IGF2",-1.92897465333361
"INS",0.886075227477418
"IRS1",-2.72411247705064
"NGFR",-2.5347209162984
"INSR",0.0138593695040309
"IL2",-7.35885792597011
"EGF",2.01804143999938
"IL2RG",-1.09003148033763
"PDGFRB",0.66450166783412
"PPARA",-5.0427064764543
"PLCG2",3.43705589433814
"PARP1",-4.23760496222411
"BCL2",3.4057511731314
"IGFBP3",1.37887134032733
"HSP90AA1",-0.0363195099705648
"EGR1",0.0205370210084045
"VEGFA",-0.447651302476682
"UBE2I",-0.0396505743638469
"TNF",-0.275388465694504
"PDPK1",1.20748760136884
"TGFB1",0.171263068725042
"GSK3B",0.861568539992581
"SSTR3",22.5674283020675
"ERCC3",1.02679851970691
"CAT",-4.15725813765829
"AR",5.7369816906942
"FAS",1.08901139381613
"TERF2",-2.3353472828984
"BAX",4.45146273868414
"EMD",-2.03598052205823
"FOXO3",0.616776694436838
"HSF1",5.40474262731125
"SOD1",1.82256706857556
"CACNA1A",-2.43230828801721
"A2M",2.45665345013686
"SNCG",1.08335713039415
"PON1",16.3049780278023
"RELA",-1.59157716344014
"IL6",0.983469426262791
"RGN",-2.75917377564796
"GPX1",-1.54168857462639
"HSPD1",-0.010022541578741
"HSPA1A",-0.612847789008277
"IL7",3.67452598310191
"MAPK14",1.78959243252364
"SDHC",9.46355209510049
"AGPAT2",-1.57073086637396
"EEF1A1",-0.107146553755367
"BDNF",-5.1245338885884
"CREB1",-0.870671076748896
"TBP",-2.62136741670631
"HSPA8",-0.236055808409625
"TFDP1",1.41681625830627
"MAPT",-1.15454465252681
"SUMO1",-4.87865560265721
"HOXB7",3.11117081254947
"HOXC4",-4.71232778652847
"JAK2",1.70159155737412
"ESR1",1.01311842284176
"NFKBIA",0.937096731472768
"GHRHR",1.02944889697612
"PSEN1",-2.83100787774043
"CDKN2A",7.16419171166622
"NOG",1.13723298860463
"UCP2",-1.20527409618473
"POLB",-2.81527059680972
"MLH1",0.168608934665066
"PPM1D",1.25678386440167
"CHEK2",-0.564978986691091
"PCK1",-0.451806456485157
"HIC1",-1.49153652039085
"UCP1",0.932942811903906
"FGF23",-0.056012619326201
"CETP",-2.38792114434373
"AGTR1",0.804032157953403
"CISD2",1.11036624261361
"KCNA3",-9.82822000666777
"TP53BP1",0.927386748681278
"SIRT3",2.73162740911498
"NCOR2",1.49628965322749
"PYCR1",-0.218198389958828
"CDKN1A",0.728583015612118
"PDGFRA",0.130346874034745
"DGAT1",1.28350702767829
"MT1E",0.774590594284803
"FGF21",-0.172199779162434
"HTRA2",3.09448092526549
"NUDT1",1.43329635009658
"TRAP1",1.12264055285111
"TRPV1",-2.74320899748663
"IFNB1",15.4506221391671
