"geneid","coef"
"Intercept",41.1050300314045
"TP53",-0.196308799159111
"TERC",-7.50559000951732
"ERCC8",8.68948368261386
"IL2",2.58283131122923
"PDGFB",-0.20803922867851
"PEX5",-1.14739086106725
"RPA1",-2.67475532481055
"BLM",-13.2548124779347
"NFKB1",-0.0519236606172346
"FAS",5.25152841202499
"POLD1",-0.672154587739521
"AGPAT2",2.44114657164299
"POLA1",-6.53196034320446
"H2AFX",-0.302258704880299
"LEP",-1.72666753414524
"UCP2",-0.701994238493893
"CETP",-0.0287784897468017
"PPARG",-1.18497568692608
