"geneid","coef"
"Intercept",67.1124975462924
"LEF1",-0.753796370023277
"CCR7",-1.68371715233425
"SERPINE2",0.0992833812195218
"SLC16A10",-0.648099143660366
"FCGBP",-0.546238848193761
"SYT11",0.225711814101513
"NOG",1.82238907515951
"FLNB",-0.286038473135672
"FGFBP2",0.370942952582384
"ITM2C",-1.09485505177834
"CR2",0.0613763714263208
"FCRL6",0.0964231580149692
"NOSIP",-0.881855638203491
"RHOC",0.883979545566724
"SUSD3",-0.78676473115501
"MFGE8",0.870705164728614
"TTC38",-1.22096867070387
"PRR5L",-0.407800635471046
"OSBPL5",-1.79961929818642
"BCL11B",0.652113036156239
"NMT2",-3.29319522060543
"TNFRSF25",0.0395029521857019
"EDAR",0.117754303324053
"ELOVL4",2.67390251523771
"LGALS1",0.561252267982062
"PDGFD",2.12006469081362
"APOBEC3H",1.35762898669077
"FAM117B",-0.58432416370971
"CAMK4",-0.803567581342621
"F2R",0.345654576319277
"SPRY1",0.654154262411772
"LGMN",0.00894586076041101
"IGFBP3",0.128235430319124
"RORC",1.01315088171672
"MAN1C1",-0.149614432485339
"ZNF154",-1.24995763783235
"PLCG1",0.0604808188561751
"IGFBP7",0.333389159347007
"ITGA6",0.890966907032213
"B3GAT1",3.14543862806023
"HSPH1",-0.231678387050374
"STMN1",-0.483041987978507
"FAM13A",0.0239987402070661
"PASK",0.683001712958077
"AGPAT4",-0.151059254684403
"TRIB2",1.3133762652914
"CDCA7L",-0.55040817421268
"GNG7",-0.33595467265503
"GEMIN4",-0.513080938816452
"CD22",-0.420737805582338
"PTGDS",1.12945909432957
"HSPD1",-0.00557725603812149
"DNAJA3",0.431711476265591
"NMUR1",0.986115232004031
"VEGFB",0.98802311942752
"SEPT6",-0.0137314663755375
"PLAG1",-0.496737509277188
"ZNF135",-0.723327863584209
"FAM129C",-0.477192414938459
"C2orf40",0.364230291623939
"GBP5",0.460936088866821
"EPB41L4A-AS1",-0.277684693197396
"LPP",-0.0932631114274228
"P2RX7",0.840862965390885
"EXOSC5",-0.671973340821102
"ENOSF1",-0.448977405057923
"MTSS1",1.23849348860609
"PTPN7",-0.671165235227592
"TSHZ2",-1.45574385946058
"BCL11A",-1.05570020402544
"HLA-DOA",0.565155370950128
"SERINC5",-0.403369537038544
"MARCH1",0.0274663121652448
"CD70",2.44096467899031
"ZNF365",-3.81825252472368
"EEF2",-0.414295478545878
"OBSCN",-0.964632078368157
"CKAP4",-0.33013547234686
"FASLG",-0.919231341780962
"CD79B",-0.0107955664741528
"TESPA1",-0.470120563339881
"GRPEL2",0.375231018507061
"SEH1L",-0.401059490356775
"MORC2",0.0037193192096272
"TRAF3IP2",-3.05148279451532
"ZNF671",-0.318917932866079
"RPS4X",1.20758933069118
"PLBD1",0.593054113392784
"NCAM1",0.259780381333227
"TNFRSF13B",-0.00667605749654851
"LY9",0.899681374164443
"MAP3K5",-1.02770347771309
"BNIP3",-0.187685972367463
"BEX2",-0.00689269090784172
"ARG1",0.171417731994046
"BLK",-0.512622952264412
"FCGR1A",0.0123665531438093
"DSC1",0.742966629869938
"PARP3",1.69231342793721
"TMEM97",0.698574679310279
"PACSIN1",0.925684395705333
"PNPO",0.086665972916556
"RCAN2",1.1441962107265
"FRMD3",0.186774752629267
"EBF1",0.0315161384181595
"SLC26A8",2.7974962293564
"WARS",-0.49736917648856
"CBLL1",-0.406703716090139
"CPA5",3.43642873808678
"ANKRD22",-0.231339090980303
"CD58",-0.146791243679061
"TCEA3",-1.49307223426883
"AGPAT4-IT1",-0.300205011380119
"CYP2J2",0.0555414322040849
"FAM153B",2.3029710948978
"RNASE2",0.602001636591471
"HLA-DOB",0.66470053467105
"CERS6",1.81408235832505
"MRPL45",-0.410836155322418
"HADH",-1.18750019773351
"HMGN1",-2.5103037839767
"RALA",-0.590654957428558
