"geneid","coef"
"Intercept",50.9533966264016
"ACSS2",-0.0109264760775608
"ADIPOR2",0.0239637434319222
"ANXA3",-0.013850083429093
"ANXA5",-0.0254948964306702
"APOD",0.00731135924368347
"B2M",-0.00244242524863755
"C1QA",0.00106906765285109
"C1QB",0.00066911797983591
"C1QC",-0.00269551319197198
"C3",-0.00746418703966062
"C4A",-0.0118292462498287
"CA4",0.00745612665703323
"CALB1",0.0136845596354718
"CLIC4",0.0168543764176472
"CLU",-0.00748069649453743
"COL1A1",-0.0126885526949316
"COL3A1",-0.0146008531027723
"COL4A5",0.0300269904829015
"CTSS",-0.0111992486135694
"CX3CL1",-0.0194260571038125
"DERL1",-0.0352390932483182
"DIABLO",0.00617040097557949
"EFEMP1",0.00238524480280233
"FABP3",0.00761136698877626
"FCGR2B",-0.0303214092009292
"GBP2",-0.000597352185562866
"GFAP",0.0250888859476468
"GHITM",-0.00848371244806232
"GNS",-0.0100483038311444
"GPNMB",-0.0065737030773728
"GSTA1",-0.00779595002885011
"HBA1",0.00667870636042528
"HCST",0.000337553088398792
"HIST1H1C",0.0031328536061044
"HLA-G",-0.0278354596857414
"IL33",0.0115543061205027
"LAPTM5",-0.00133160425256957
"LGALS3",-0.00812922500994679
"LITAF",-0.00449388636907457
"LYZ",-0.00880972361053032
"MGST1",-0.00279940464996599
"MPEG1",-0.0192469468234188
"MSN",-0.00374008070030188
"MT1F",-0.00746886200327847
"NDRG1",-0.00378000798896781
"NDUFB11",-0.0396612803573709
"NPC2",-0.0105999722087254
"PCSK6",-0.0324010315144952
"PSMD11",-0.0262579690306701
"PTGES3",0.00464418553288251
"RASA3",0.0240153483195637
"RNF213",-0.0167163877019169
"S100A4",-0.00454494303602321
"S100A6",-0.00639353392123896
"SERPING1",-0.0124790288168217
"SGK1",0.00987360211881844
"SPP1",-0.00436367548585282
"TFRC",-0.00369793355587293
"TMED10",-0.0164975707944777
"TXNIP",0.00672217271774058
"UQCRFS1",-0.0259181561947978
"UQCRQ",-0.0399686792408248
"VAT1",0.00569503096520731
"VWF",5.38242628274319e-05
