"geneid","coef"
"Intercept",90.72408462443
"NEFH",-0.79490488799622
"ACTN2",0.169084521012991
"CDKN2A",0.582408469047724
"FMO3",1.12027366062968
"TRDN",0.504896756980938
"EOMES",1.09648570041723
"C7",0.548413142011156
"GDF6",2.55953771314948
"TCAP",0.0557969723065406
"HBA2",0.0910261551606366
"SCIN",0.999135546333007
"ZMAT3",1.28297338112388
"MYL7",1.03518710013973
"SMOC2",0.62491074125184
"KLK4",-0.28217030350162
"HBB",0.11441294462975
"MIR503HG",-0.184562038135286
"MIR4458HG",-0.0932122482608092
"EYA4",6.28943866766565
"TNFSF14",0.0268397361362957
"HCST",0.153392693908583
"ROBO2",3.99598484626584
"MRPL45",-0.0731982767326837
"HBA1",0.0488899934612289
"HIST2H2AC",0.927347767092326
"PCDH10",8.50421448908337
"ZBTB18",0.00945022316194086
"LINC01963",-0.986041127177615
"AGPAT1",-0.81633024756531
"HPX",-0.239387911379736
"CLDN18",1.51165754685884
"SMDT1",-2.08136973473791
"ARL16",-0.550771899551749
"TNFAIP3",-0.130019257241
"HR",-0.206542579503122
"CXCL8",-0.0600740025330227
"ZNF331",-0.0280067686698903
"RNF150",-0.993616452621525
"OSM",0.139055673585707
"SARM1",-0.301573803188895
"HSPA7",-0.0901221604786945
"HSPA6",-0.21916938165213
"IL12RB2",0.37320632592858
"SVEP1",0.159371655858514
"HHATL",0.121085671347493
"ZNF285",-0.353321483079044
"SLAMF1",-1.74850207463601
"TARID",2.3939942331641
"APEX2",-2.24259467628646
"SIM2",-0.135448086895868
"RPA1",-1.77760909073471
"GPRC5A",-0.406067769796287
"FABP3",-0.1151984481818
"GPC3",0.0523430576211492
"SLC22A3",-1.33209649085192
"JUNB",-0.0631854715009055
"TMEM18",-1.36411811162744
"PAPPA-AS1",0.305781854882249
"RBAK-RBAKDN",2.15827619190648
"LSAMP",0.173751974833362
"PITPNA-AS1",-0.353958606316302
"GTPBP2",0.0908657033551734
"TM4SF19-AS1",0.0346513081858096
"HMGCR",-0.441328102783711
"KYAT3",-0.600398383693058
"FAM153B",4.15038667006004
"FAM53A",-0.433634354902185
"TRG-AS1",-4.24051700101509
"ELOVL3",-0.19165280940574
"PITX1",0.516259007800026
"PELI1",-0.222356286332453
"LHPP",-0.0803987515943469
"MAN2C1",0.103251823554103
"SCN3A",0.777693904424598
"FBLN5",0.363330293231747
"LAMA5-AS1",1.33305232450023
"CDA",0.679709920335236
"CREB5",-0.716909794648285
"TSGA10",-0.335612098798227
"ZNF518B",-4.75444686702321
"KCNIP3",-1.57596111538917
"SNX29P2",-0.463156212908476
"CLEC1A",-0.295482349500937
"C19orf38",0.67081403934824
"TFPI2",0.291694318253643
"GPHN",-1.67471357956403
"KCNS2",1.32549804465959
"GNE",-3.15969649322622
"PCDHB9",4.37898564031906
"SORCS2",0.139102823494779
"HOXA7",-0.476530147958434
"CAMKMT",-3.00615277553684
