"geneid","coef"
"Intercept",94.4459966815052
"FMO3",1.28776314817866
"C7",0.517728119082926
"MIR4458HG",-0.299891799401884
"MRPL35",-0.0732656778941694
"PYHIN1",0.0630520555942153
"ZNF518B",-5.89349801004026
"MRPL46",0.266131951059799
"LINC01963",-1.28476980868918
"ILVBL",-0.222177696592365
"PITPNA-AS1",-0.339571196283384
"PEX5",-0.364906276259126
"EOMES",1.47355558816896
"SMDT1",-2.10745499648994
"SLC22A3",-1.37053812747713
"SMOC2",0.710334311234373
"MRPS33",0.121693947290625
"MYL7",1.29781382519095
"ADAM9",0.513219151350005
"MRPL51",-0.388893575429481
"GTPBP2",0.816029043324654
"FEM1C",-0.0646751188504866
"GREM1",0.224918216188766
"AGPAT1",-1.19137210409976
"HR",-0.580275502904491
"GDF6",3.41419891719641
"RNF150",-1.51984804688578
"SVEP1",0.157228056723911
"PYGO2",-0.557454125310726
"HOXA7",-0.702661606472651
"NEFH",-1.38633537879703
"SCIN",0.834684426351081
"RPA1",-1.84369528800686
"ZMAT3",0.581893976708289
"MAP3K8",-0.0455721703778851
"HOXA-AS3",-0.362585794737682
"KCNIP3",-1.74876435853718
"HBA2",0.164235989517981
"HBA1",0.0631108327192195
"OSM",0.642966317374368
"GNE",-4.28480992522664
"HBB",0.146301197199799
"IL12RB2",0.554615314893567
"GPC3",0.173280011261828
"NXPE3",0.380952371938132
"HCST",0.201950801893149
"ROBO2",6.61904648514898
"CDA",0.554424042799909
"ZBTB18",0.895188127696746
"PTPMT1",0.0017394611463166
"IMPA2",-1.03952345595894
"ELOVL3",-0.400087182892204
"ZNF285",-1.41375138019432
"KYAT3",-0.472689108544186
"ARL16",-1.62044637963966
"MED18",0.927966784581839
"TRDN",0.705883405301946
"MAN2C1",0.225916744527427
"METTL2A",0.185668720295361
"GADD45A",-0.0798151263151158
"RGL1",1.80846578668814
"PML",-1.23964097036768
"LAMA5-AS1",2.0026820588413
"EYA4",7.33535022297618
"GPHN",-2.21118207169196
"PCDHB4",0.132037636261468
"HIST2H2AC",1.17950854121654
"FAM53A",-1.34372271356797
"FBLN5",0.436157487928146
"LYNX1",-0.0166628071612318
"MX2",-0.504753257939756
"CTTNBP2NL",-0.332206077956658
"GLI4",-1.06500369599942
"FAM120AOS",0.490005212952787
"LHPP",-1.14590605535053
"CYTH1",-1.3977971425002
"ABCA3",0.165367926663378
"TNFSF14",0.240018738830927
"APEX2",-2.51550728268271
"CYP4Z1",0.0197840940591038
"CLDN2",-0.349940702447881
"TFPI2",0.358727382769049
"CDKN2A",0.406888313444392
"TSTA3",-1.15221438108774
"DHTKD1",0.0100281314535802
"TARID",3.56701727852301
"MNDA",0.372338995228192
"SLC38A11",2.73501775708276
"RBMS1",-0.861643663567298
"TMEM18",-0.854904322569957
"CLIC6",-0.127040081900397
"PRKCD",-0.00724491077941238
"NDNF",0.0162499639590314
"ST20",0.121124422080873
"GLIS1",-0.583323355132781
"RNFT1-DT",-1.47867062579938
"HSPA6",-0.307553677815915
"PITX1",2.27679764869731
"RBAK-RBAKDN",2.84637876484027
"ZNF331",-0.106428416319722
"FMNL1",-0.0392178769816797
"PCDH10",8.4172244409142
"SRGAP2B",1.05054949417918
"KDM7A",-0.229877140797819
"METTL26",-0.0652621308251941
"IDI2",-0.0974225439334374
"OVGP1",0.274868536999076
"NLRX1",0.381090612105551
"HSPA7",-0.211330215275347
"GPRIN3",-1.83551097892258
"SPRED2",0.765775019999765
"PELI1",-0.20638669316889
"SNX29P2",-0.334092423394065
"PCDHB8",1.64564811342399
"ZNF252P",-1.51312827917607
"CHCHD7",-0.0733337069925135
"MLX",0.129102145021807
"ADAMTSL2",1.24833108546271
"LSAMP",0.177542402801394
"NMT1",0.109874711436307
"TP53I11",0.676594651309371
"CLEC1A",-0.828456804627511
"LOC101927969",0.36223337422699
"KEAP1",0.696916774311115
"NSMCE1",-1.40500970870695
"TMEM218",-0.133948578011455
"RRN3P2",-0.61411590902484
"NOV",0.21350281605478
