"geneid","coef"
"Intercept",101.543258555428
"IL1RL2",-2.13261347018802
"ZMAT3",0.104756747554406
"SETBP1",0.405465700252365
"PACSIN2",-0.171628318657896
"SLC1A7",0.124257796358953
"IGF1R",-0.0769793734395266
"CDKN2A",2.21043321272195
"KLK1",-0.194372331822084
"LOC101927359",2.87191162845363
"HHIPL2",-3.31132776323896
"SYT14",-2.64969050818542
"C1orf226",-0.634223231672641
"IMP3",-0.0796907215691787
"CADM4",-0.50115924127367
"RASA4B",0.450536345053046
"LOC730101",-0.497293075377789
"IL6R",-0.0506746652307087
"C5AR1",0.144053632933339
"HS2ST1",0.899811795771225
"OCIAD2",-0.417931245910433
"SPAG6",-1.04334854492472
"C3orf80",0.774377633667677
"PAGE4",0.122761846103418
"COL14A1",-0.178081651945358
"CABCOCO1",2.47520056077387
"LINC00475",0.986262652436432
"ZNF154",-2.83912177653534
"SH3BP5L",-0.422148535977669
"LY6K",-0.270488918667335
"CYS1",0.0561452680463484
"PACRGL",5.04994877241658
"OR7A5",-1.11745388129972
"RGS13",0.671826341749374
"PRSS30P",-2.05862230671765
"PCDHB2",2.46158868010922
"SYCP2L",0.996005785928942
"LGI3",-1.44808574653543
"RNF144A-AS1",0.0397686138328789
"YAF2",1.47140406434534
"MYBL1",0.051796530544244
"RXRA",-0.635403269683246
"ZNF528",-0.335260040612408
"FAM129B",-0.635176193922875
"FAM126A",-0.0938787005539667
"MSC-AS1",-1.39560248133034
"RIC8A",-0.285533825292039
"RASL10A",0.0734390895529979
"ZNF549",-2.20272767402322
"ALMS1",2.46686270272604
"FCRL6",1.44613265382257
"BPTF",0.385926714994701
"PNMA2",-0.745830957956704
"CCDC134",-0.453776277299389
"LYPD1",-1.90311016433478
"HBA2",0.129729802045961
"SHISA2",-1.46962353132174
"ITPKB",-1.74004662276325
"CHMP1B2P",-1.34559871066267
"ALG2",-0.449398807611067
"HBA1",0.0569669091517188
"ZCCHC24",-0.0391963695184721
"P2RY1",-0.0888441691465581
"RPUSD2",-2.18449736594941
"INTS5",0.50748217001816
"MRPL36",-0.396628746860375
"CXCL12",-0.0162615249280644
"AK7",-11.7589549726793
"ERAP2",0.895907733739395
"MYO7A",0.494013466067447
"RHOJ",-0.0806674408431155
"NTNG1",0.0243757356768252
"FGF7",-0.30583540244588
"NEK4",1.15940621675374
"JAK2",-0.452625203172442
"CSF3R",0.0647790243613063
"HBB",0.116669850753874
"SLC38A4",-0.0617352328314868
"PCDHGB6",-0.0182517941714061
"GLB1L",-0.538212111158286
"PCDHGB7",-0.0011201892905981
"MAP7D2",-4.20013781637144
"CIB1",-0.104189730729034
"JCHAIN",0.633975743684981
"LPAR3",-0.391054969726092
"HENMT1",-2.75188645873808
"SCG5",0.178469531324713
"PPP1R32",0.232866026766847
"ITGBL1",0.247657386240965
"PTCH2",0.0560299453394376
"MB21D2",-0.114489375896813
"ACAD11",0.144294813829128
"HFM1",0.267764637600763
"MFSD5",0.209627533395162
"SYT13",0.0481820658364999
"PPP1R26",-0.546670316245267
"HSPA7",0.452930172296348
"HCN2",-1.03920575977899
"PIGM",0.0995967331432692
"HIST1H4J",-0.614562407927025
"NOS1AP",-0.616907439850858
"CEP128",6.677820480942
"DPYSL2",-0.855737308500243
"PRPF4",-0.218339229585917
"R3HDM1",0.654453561758002
"RECK",-0.798956170612999
"EDA2R",1.6535629791048
"SCN7A",-0.259792766785901
"RAP2A",-0.48170700964365
"MARCO",0.585052223083469
"KCNQ3",-0.118404587927981
"NAT1",-0.139351023147076
"HAR1A",-0.479648921439703
"HIST1H4K",-0.194230701315367
"WIPF1",-0.274767131243052
"SLC19A2",0.309612128526643
"ZDHHC14",-0.141639766912223
"MZT1",0.898631477583478
"ZFP1",-0.368535458475897
"JUNB",0.233429213728598
"PTPN20",-0.172232357467979
"TMEM205",1.95354170754963
"MEAK7",-2.60502769791574
"SLC6A13",-3.77410844997144
"LOC102724532",-2.30952292260548
"ID2",0.597050045619263
"PDGFRA",-0.0244722447824784
"FGF14",0.513717512510423
"PTCHD4",5.23606336378934
"ZNF529-AS1",-1.08739521860745
"FXYD7",-0.420470793560073
"VWCE",2.52884379606117
"ZNF417",0.0108786249918435
"TMEM232",-3.14734599198836
"LINC01473",0.808752301344482
"ADAM22",0.165471818349094
"LINC01572",-0.819080342045087
"LINC00506",-1.5340050017634
"PTRH1",-0.0140838882714773
"C4orf3",-2.39171867315757
"ABO",-0.332129615485714
"PDXDC1",0.571116841649124
"SLC35F6",0.529383958320644
"INE1",-0.722284855317932
"EGFLAM",-0.0838663188617267
"FAM135B",-17.8881276386218
"LIN52",1.24586825328754
"SLC9B2",-0.429153023875605
"THOC7",-0.15654735004169
"GPRC5D",-1.55546254662606
"MST1L",-2.57661400199257
"SCAMP2",0.731582563724917
"PASK",0.177422122706622
"CCL4",0.319013574421759
"TMEM225B",1.37503620341225
"TENM1",-0.314921761997147
"FRK",-1.38892816562523
"PNRC1",-0.161102474160669
"RP9P",-0.366735946066273
"MALL",-0.0572213791817531
"ZNF571",0.590923928722199
"MPDU1",0.0505084521218361
"FUT1",0.393127207720867
"STAM-AS1",-0.201238154091178
"PRKCD",0.883920676854087
"MCAT",0.897036723996022
"VIM",-0.636212269265764
"GPR78",0.0475290781119224
"MRPS33",-0.536522877393752
"MST1P2",-0.0835412610007336
"LOC105379194",-0.318330338258199
"ARRDC3",-0.00115887265079239
"IL1R1",-0.36814000391784
"PACS1",-0.865780360987935
"GCLC",0.455805190674783
"TMSB4X",-1.1955484454183
"OPTN",-0.410594451029116
"PDGFA",-0.0712763463430416
"FBXL21",-0.314716506409748
"C2CD4D",0.430695179659095
"SLC17A5",0.806580639583913
"CYBRD1",-0.350829641846867
"PRR13",-0.847781576272633
"EFEMP1",-0.138946057623068
"CFAP157",-0.377714974554181
"TXNDC11",1.29591672950239
"RAP1GAP",0.00239500840215181
"CYLD",-0.71732470262935
"ELP2",-0.734987133501088
"RFXAP",1.20707719419446
"MED20",-0.122654768055908
"ZC3H12B",2.920098117753
"TUBA8",0.266556698535214
"NUP50-DT",1.96129143749252
"MEOX2",-0.292988966910417
"LOC642361",2.67148479141643
"LINC01095",1.17232520946778
"TCEAL5",-0.0597468297149696
"MAPK14",-0.923733938848371
"TUBBP5",-1.17143680666558
"FAM49A",0.268591814058232
"PIGS",0.115506717552771
"CBX3",-0.903592065060495
"EIF4E2",-2.40331936550488
"FXYD1",-0.306977287568944
"REXO4",-3.43947596479826
