"geneid","coef"
"Intercept",84.5722365183592
"SHC1",-0.632016880773188
"POU1F1",-9.28894506710192
"PROP1",7.32473229099918
"PLAU",-1.98839054496328
"ERCC8",6.08983897039546
"WRN",5.99029117821094
"IGF1R",3.58215794837541
"KL",6.03615213757391
"E2F1",4.37808332047396
"PTPN11",13.7151491352921
"STAT3",-3.02631649101093
"NRG1",12.3287179282478
"GH1",0.523914049369143
"IGF2",-5.17661593131185
"PTPN1",-2.47783136239796
"HRAS",2.179942332092
"INSR",-3.92236677766009
"NBN",-13.3743844840538
"IL2",-2.98711852776774
"PDGFB",0.819717091506332
"FOS",0.0770647715055984
"PDGFRB",2.53772749569714
"PLCG2",1.30343472653872
"HIF1A",-3.60018826440198
"BCL2",0.890451876910802
"IGFBP3",-1.29958560641964
"HSP90AA1",-2.21951973990306
"NR3C1",2.4115966765764
"TOP2B",-5.77346375724466
"TNF",-0.0513123888603836
"CEBPA",-8.63704779188572
"EP300",2.4398047390511
"APOC3",-1.44902980550284
"FAS",0.16353072925658
"XRCC6",2.68856090254279
"BAX",1.15244926884225
"FOXO3",-5.2948390580176
"RECQL4",0.242843518124898
"COQ7",6.56333675367477
"CACNA1A",9.7725008627662
"A2M",2.38111686703847
"SNCG",5.06628119896752
"PON1",0.292273483777912
"IL6",-2.90626571461761
"RGN",-1.98636854294664
"ERCC1",-1.432535909503
"GSS",0.380651150849765
"GSTA4",-2.84069687955579
"HSPD1",-1.63775860770621
"MAPK8",-6.88619612307904
"FLT1",-0.624760624716205
"MED1",2.84562828652717
"MAPK9",5.2169410978196
"MAPK3",-5.60863442216329
"HMGB2",-5.95926833754049
"SDHC",5.40605013560544
"HESX1",-1.98061088205044
"TFAP2A",12.8302415060909
"ATF2",-4.76356440386006
"HBP1",-3.87055314453253
"TFDP1",-1.88069706719307
"DDIT3",1.03571160399629
"CTGF",0.348746112913387
"MXD1",-0.336440635652443
"HOXB7",-4.08607842128082
"JAK2",8.12559512186329
"ESR1",-2.0667541439864
"LEPR",2.05948271689869
"CLU",-4.27861758211257
"GHRHR",0.896056087472833
"PSEN1",-2.21903001745254
"NOG",0.744477890815425
"ATR",0.997485183811738
"POLB",-2.31664929889278
"GCLC",1.85396285372758
"CHEK2",-1.46958123779782
"PCK1",17.0303564817184
"ARNTL",-7.09098764808208
"UCP1",-2.852714260292
"FGF23",-18.600175671922
"PPARG",4.54258956315665
"AGTR1",-3.44935267737387
"EPS8",3.96158998423878
"SLC13A1",-4.07404748801243
"TP53BP1",-4.56284200077217
"SUN1",-2.03238119144305
"PYCR1",0.206447272552747
"TP73",3.47565545277295
"CDKN1A",11.8628908165361
"C1QA",1.98522015594596
"MIF",0.424374213959066
"SQSTM1",1.20959449921007
"GRN",-1.8998393237875
"CTF1",-0.042446456019234
"TRAP1",4.59688781518159
"IFNB1",10.7237434427611
"GDF11",0.889994087681159
