"geneid","coef"
"Intercept",88.7128946163474
"ACSS2",5.92619852100425
"ANXA3",6.04874834333228
"ANXA5",0.654780564330736
"APOD",-2.83197187400293
"B2M",7.7353064113782
"C3",0.422578573453891
"C4A",0.240494421333496
"CALB1",-23.2669689357001
"CLIC4",-2.03175782577996
"CLU",0.58858124182806
"CTSS",4.01866342500193
"DERL1",-1.99225565657715
"DIABLO",-0.185452155693883
"FCGR2B",-3.03328952753673
"GBP2",-1.21931271516556
"GNS",-6.05395261754723
"GSTA1",1.14542981196567
"HBA1",0.0377188535657543
"HCST",0.355471998339514
"HLA-G",0.0339532164425664
"LITAF",-6.97214123869233
"LYZ",-0.19771250601207
"MGST1",3.62894716820201
"MSN",0.0366508628548745
"MT1F",-9.93853409405261
"NDRG1",-1.86165651898551
"PCSK6",-8.7303371459444
"PSMD11",-2.38011238215971
"RNF213",-1.55242654148596
"S100A6",-2.98203122426285
"SGK1",-2.35364496144549
"SPP1",1.24245877906635
"TMED10",1.32228978368437
"VWF",2.76848609542718
