"","SRR2166176","SRR2167642"
"AFF4",8877,8022
"ZGLP1",153,213
"CHDH",1574,1497
"MIR6801",0,1
"ZFP90",1521,1634
"KDM6B",1421,1229
"DCLRE1A",485,599
"SPINK2",3,0
"NSUN5P2",1418,1387
"P2RY14",19,51
"SC5D",1518,1630
"DSN1",363,235
"LINC01523",0,0
"LOC105370941",36,68
"KCP",948,1239
"SKP1",18703,17006
"ADAMTS9",698,60
"PRPF3",4033,3340
"PARP14",215,360
"CCDC9",173,352
"LOC440934",141,48
"HOXB1",0,0
"TM7SF2",337,450
"CDV3",2630,2862
"NELFA",574,628
"ARHGEF19",41,22
"P2RX3",2,0
"LINC00583",0,0
"UBR5",6733,4800
"SBDSP1",846,849
"COASY",1098,1224
"AP1S3",217,214
"AP2M1",10078,10269
"SPDYE3",156,247
"DGUOK",709,797
"FAM160B1",1629,1590
"TMEM88B",2,3
"RAP2B",165,151
"GSDMC",1,2
"FAIM",471,492
"ABCC6",7,14
"PCOTH",5,7
"CRABP2",169,100
"C1orf61",6082,9993
"CARD16",19,34
"LINC00207",0,0
"CYMP-AS1",1,3
"SULT1C3",0,0
"LTV1",581,866
"AICDA",5,2
"SGIP1",2755,2442
"PALM2-AKAP2",906,874
"ABCC3",13,30
"DAZAP2",4955,5081
"TNFRSF14",254,269
"ZNF7",1152,1512
"SLC22A5",1877,1914
"CDK3",206,203
"KLKP1",2,0
"PRKACG",1,0
"NAA40",3361,2812
"SCN5A",17,19
"PIP4K2B",8151,9334
"BLMH",1309,1157
"LOC101928495",0,0
"SGPP1",1488,1609
"MIR215",0,0
"S1PR5",111,109
"SELENOV",2,1
"ABL2",2005,2161
"IKZF3",14,7
"U2SURP",5794,8218
"MIR661",0,0
"INSC",4,7
"CPT2",250,485
"NT5C1B",2,2
"CHRNA3",378,363
"UBQLN3",2,1
"ZNF71",257,294
"MCM3AP",3633,4171
"HIST2H2BF",143,294
"LTN1",2017,2436
"CEBPZOS",1299,2052
"LINC01056",0,0
"LINC02551",8,9
"LOC101929217",0,0
"CXorf56",1116,1170
"LINC01873",0,0
"ZBTB18",23910,27054
"MIR1470",0,0
"CCNJ",333,603
"ZNF629",1082,1099
"ENPP2",1612,2042
"LINC00620",0,0
"MIR548AA1",1,0
"CNGA1",4,6
"MAB21L3",11,15
"SLC22A15",980,1163
"ZNF394",383,523
"CACNB2",2328,2317
"NDUFA8",989,954
"COPS7B",1135,1158
"RCAN2",4702,4154
"LAGE3",96,142
"LOC101928075",4,6
"PEPD",460,602
"JDP2",548,606
"TNP2",1,1
"SPACA1",0,1
"EIF6",771,913
"ZBTB49",176,211
"KLK14",24,25
"LINC01450",0,1
"ABCG1",638,709
"SMAD1-AS1",102,84
"B4GALT2",370,360
"FAM71F2",51,45
"IMMP2L",151,119
"PAK2",1868,2145
"HCG27",544,286
"RARRES2",38,51
"SLC5A11",209,203
"AHSA2P",9654,8592
"PTP4A2",3259,3694
"DIO3OS",7,21
"KIF25-AS1",8,59
"FAM76A",699,1054
"HOMEZ",231,278
